Accession	Organism_Name	GenBank_RefSeq	Release_Date	Isolate	Species	Genus	Family	Length	Nuc_Completeness	Genotype	Segment	Country	Host	Tissue_Specimen_Source	Collection_Date	GenBank_Title
NC_030660	Emaravirus toordali	RefSeq	2016-07-25	PLant	Emaravirus toordali	Emaravirus	Fimoviridae	7009	complete		RNA 1	India	Cajanus cajan		2011-07-10	Pigeonpea sterility mosaic virus 2 segment RNA1, complete genome, isolate PLant
NC_030661	Emaravirus toordali	RefSeq	2016-07-25	PLant	Emaravirus toordali	Emaravirus	Fimoviridae	1335	complete		RNA 3	India	Cajanus cajan		2011-07-10	Pigeonpea sterility mosaic virus 2 segment RNA3, complete genome, isolate PLant
NC_030662	Emaravirus toordali	RefSeq	2016-07-25	PLant	Emaravirus toordali	Emaravirus	Fimoviridae	2229	complete		RNA 2	India	Cajanus cajan		2011-07-10	Pigeonpea sterility mosaic virus 2 segment RNA2, complete genome, isolate PLant
NC_030663	Emaravirus toordali	RefSeq	2016-07-25	PLant	Emaravirus toordali	Emaravirus	Fimoviridae	1491	complete		RNA 4	India	Cajanus cajan		2011-07-10	Pigeonpea sterility mosaic virus 2 segment RNA4, complete genome, isolate PLant
NC_030657	Yacon virus A	RefSeq	2016-07-24	4Y_2	Yacon virus A	Capillovirus	Betaflexiviridae	6400	complete			Poland	Smallanthus sonchifolius		2014-12-01	Yacon virus A isolate 4Y_2, complete genome
NC_030648	Carrot mottle mimic virus satellite RNA	RefSeq	2016-07-19	Thessaloniki	Carrot mottle mimic virus satellite RNA			748	complete			Greece	Petroselinum crispum		2002	Carrot mottle mimic virus satellite RNA, complete sequence
NC_030649	Carrot mottle virus satellite RNA	RefSeq	2016-07-19	Quedlinburg	Carrot mottle virus satellite RNA			745	complete			Germany	Daucus carota		2007	Carrot mottle virus satellite RNA, complete sequence
NC_030650	Gorilla anellovirus	RefSeq	2016-07-19	GorF	Omegatorquevirus hominid1	Omegatorquevirus	Anelloviridae	2568	complete			Czech Republic	Gorilla		2012	Gorilla anellovirus isolate GorF ORF2 and ORF1 genes, complete cds; and nonfunctional ORF3 gene, complete sequence
NC_030651	Nylanderia fulva virus 1	RefSeq	2016-07-19	Florida initial	Nylanderia fulva virus 1	Nyfulvavirus	Solinviviridae	10913	complete			USA	Nylanderia fulva		2011-04-01	Nylanderia fulva virus 1 isolate Florida initial polyprotein gene, complete cds
NC_030652	Staphylococcus phage 80	RefSeq	2016-07-19		Phietavirus pv80	Phietavirus		42140	complete				Staphylococcus			Staphylococcus phage 80, complete genome
NC_030458	Chimpanzee faeces associated microphage 3	RefSeq	2016-07-14	CPNG_29300	Chimpanzee faeces associated microphage 3		Microviridae	5016	complete			Nigeria			2013	Chimpanzee faeces associated microphage 3 isolate CPNG_29300, complete genome
NC_030472	Chimpanzee faeces associated microphage 1	RefSeq	2016-07-14	CPNG_29298	Chimpanzee faeces associated microphage 1		Microviridae	4851	complete			Nigeria			2013	Chimpanzee faeces associated microphage 1 isolate CPNG_29298, complete genome
NC_030452	Pelargonium leaf curl virus	RefSeq	2016-07-13	T46	Tombusvirus pelargonii	Tombusvirus	Tombusviridae	4789	complete			United Kingdom	Tulipa fosteriana		1970	Pelargonium leaf curl virus isolate T46 clone p1580-12, complete genome
NC_030453	Diaphorina citri flavi-like virus	RefSeq	2016-07-13	FL	Diaphorina citri flavi-like virus			27709	complete			USA	Diaphorina citri		2015	Diaphorina citri flavi-like virus, complete genome
NC_030479	Pseudogymnoascus destructans partitivirus-pa	RefSeq	2016-07-13	PdV80251	Pseudogymnoascus destructans partitivirus-pa		Partitiviridae	1524	complete		2	USA	Pseudogymnoascus destructans		2008-07	Pseudogymnoascus destructans virus isolate PdV80251 capsid protein gene, complete cds
NC_030480	Pseudogymnoascus destructans partitivirus-pa	RefSeq	2016-07-13	PdV80251	Pseudogymnoascus destructans partitivirus-pa		Partitiviridae	1682	complete		1	USA	Pseudogymnoascus destructans		2008-07	Pseudogymnoascus destructans virus isolate PdV80251 RNA-dependent RNA polymerase gene, complete cds
NC_030451	Diachasmimorpha longicaudata rhabdovirus	RefSeq	2016-07-12	UGA	Diachasmimorpha longicaudata rhabdovirus		Rhabdoviridae	13434	complete			USA	Diachasmimorpha longicaudata	venom gland	2014-06-04	Diachasmimorpha longicaudata rhabdovirus isolate UGA, complete genome
NC_030454	enterovirus A114	RefSeq	2016-07-12		Enterovirus A	Enterovirus	Picornaviridae	7317	complete	EV-A114		India	Homo sapiens	feces	2013-09-09	Enterovirus A114 strain V13-0285, partial genome
NC_030455	Circovirus-like genome DCCV-7	RefSeq	2016-07-12	DCCV-7	Circovirus-like genome DCCV-7		Circoviridae	3021	complete			China			2010-01	Circovirus-like genome DCCV-7, complete genome
NC_030456	Circovirus-like genome DHCV-5	RefSeq	2016-07-12	DHCV-5	Circovirus-like genome DHCV-5		Circoviridae	1784	complete			China			2010-03	Circovirus-like genome DHCV-5, complete genome
NC_030457	Circovirus-like genome DCCV-8	RefSeq	2016-07-12	DCCV-8	Circovirus-like genome DCCV-8		Circoviridae	2651	complete			China			2010-01	Circovirus-like genome DCCV-8, complete genome
NC_030459	Circovirus-like genome DCCV-9	RefSeq	2016-07-12	DCCV-9	Circovirus-like genome DCCV-9		Circoviridae	1828	complete			China			2010-01	Circovirus-like genome DCCV-9, complete genome
NC_030460	Circovirus-like genome DCCV-10	RefSeq	2016-07-12	DCCV-10	Circovirus-like genome DCCV-10		Circoviridae	2320	complete			China			2010-01	Circovirus-like genome DCCV-10, complete genome
NC_030461	Chimpanzee faeces associated circular DNA molecule 1	RefSeq	2016-07-12	CPNG_29268	Chimpanzee faeces associated circular DNA molecule 1			2356	complete			Nigeria	Pan troglodytes		2013	Chimpanzee faeces associated circular DNA molecule 1 isolate CPNG_29268, complete genome
NC_030462	Canna yellow mottle associated virus	RefSeq	2016-07-12	CaYMAV-Ci	Badnavirus alphamaculaflavicannae	Badnavirus	Caulimoviridae	6966	complete			USA	Canna indica		2014-11-17	Canna yellow mottle-associated virus isolate CaYMAV-Ci, complete genome
NC_030463	Circovirus-like genome DCCV-1	RefSeq	2016-07-12	DCCV-1	Circovirus-like genome DCCV-1		Circoviridae	1051	complete			China			2010-01	Circovirus-like genome DCCV-1, complete genome
NC_030464	Circovirus-like genome DCCV-11	RefSeq	2016-07-12	DCCV-11	Circovirus-like genome DCCV-11		Circoviridae	3124	complete			China			2010-01	Circovirus-like genome DCCV-11, complete genome
NC_030465	Circovirus-like genome DCCV-2	RefSeq	2016-07-12	DCCV-2	Circovirus-like genome DCCV-2		Circoviridae	2187	complete			China			2010-01	Circovirus-like genome DCCV-2, complete genome
NC_030466	Chimpanzee faeces associated circular DNA virus 1	RefSeq	2016-07-12	CPNG_29286	Chimpanzee faeces associated circular DNA virus 1		Circoviridae	3811	complete			Nigeria	Pan troglodytes		2013	Chimpanzee faeces associated circular DNA virus 1 isolate CPNG_29286, complete genome
NC_030467	Circovirus-like genome DCCV-3	RefSeq	2016-07-12	DCCV-3	Circovirus-like genome DCCV-3		Circoviridae	1864	complete			China			2010-01	Circovirus-like genome DCCV-3, complete genome
NC_030468	Circovirus-like genome DCCV-12	RefSeq	2016-07-12	DCCV-12	Circovirus-like genome DCCV-12		Circoviridae	2103	complete			China			2010-01	Circovirus-like genome DCCV-12, complete genome
NC_030469	Circovirus-like genome DCCV-13	RefSeq	2016-07-12	DCCV-13	Circovirus-like genome DCCV-13		Circoviridae	2433	complete			China			2010-01	Circovirus-like genome DCCV-13, complete genome
NC_030470	Circovirus-like genome DCCV-4	RefSeq	2016-07-12	DCCV-4	Circovirus-like genome DCCV-4		Circoviridae	2985	complete			China			2010-01	Circovirus-like genome DCCV-4, complete genome
NC_030471	Circovirus-like genome DHCV-1	RefSeq	2016-07-12	DHCV-1	Circovirus-like genome DHCV-1		Circoviridae	1173	complete			China			2010-03	Circovirus-like genome DHCV-1, complete genome
NC_030473	Circovirus-like genome DCCV-5	RefSeq	2016-07-12	DCCV-5	Circovirus-like genome DCCV-5		Circoviridae	2533	complete			China			2010-01	Circovirus-like genome DCCV-5, complete genome
NC_030474	Circovirus-like genome DHCV-2	RefSeq	2016-07-12	DHCV-2	Circovirus-like genome DHCV-2		Circoviridae	2854	complete			China			2010-03	Circovirus-like genome DHCV-2, complete genome
NC_030475	Circovirus-like genome DHCV-6	RefSeq	2016-07-12	DHCV-6	Circovirus-like genome DHCV-6		Circoviridae	2369	complete			China			2010-03	Circovirus-like genome DHCV-6, complete genome
NC_030476	Chimpanzee faeces associated microphage 2	RefSeq	2016-07-12	CPNG_29299	Chimpanzee faeces associated microphage 2		Microviridae	5184	complete			Nigeria			2013	Chimpanzee faeces associated microphage 2 isolate CPNG_29299, complete genome
NC_030477	Circovirus-like genome DHCV-3	RefSeq	2016-07-12	DHCV-3	Circovirus-like genome DHCV-3		Circoviridae	2029	complete			China			2010-03	Circovirus-like genome DHCV-3, complete genome
NC_030478	Circovirus-like genome DCCV-6	RefSeq	2016-07-12	DCCV-6	Circovirus-like genome DCCV-6		Circoviridae	2522	complete			China			2010-01	Circovirus-like genome DCCV-6, complete genome
NC_030446	Tibetan frog hepatitis B virus	RefSeq	2016-07-04	243398	Tibetan frog hepatitis B virus	Herpetohepadnavirus	Hepadnaviridae	3138	complete			China	Nanorana parkeri		2010-08	Tibetan frog hepatitis B virus isolate 243398, complete genome
NC_030447	Gemycircularvirus HV-GcV1	RefSeq	2016-07-04	HV-GcV1	Gemycircularvirus HV-GcV1	Gemycircularvirus	Genomoviridae	2264	complete			France	Homo sapiens	heart		Gemycircularvirus HV-GcV1, complete genome
NC_030448	Gemycircularvirus HV-GcV2	RefSeq	2016-07-04	HV-GcV2	Gemykibivirus humas5	Gemykibivirus	Genomoviridae	2262	complete			France	Homo sapiens	heart		Gemycircularvirus HV-GcV2, complete genome
NC_030445	Bluegill hepatitis B virus	RefSeq	2016-07-02		Bluegill hepatitis B virus	Metahepadnavirus	Hepadnaviridae	3260	complete			USA	Lepomis macrochirus	lip	2009-09-09	Bluegill hepatitis B virus, complete genome
NC_030449	Circular ssDNA virus sp.	RefSeq	2016-07-02	HV-CV1	Circular ssDNA virus sp.			2951	complete			France	Homo sapiens	heart		Unidentified circular ssDNA virus, complete genome
NC_030391	Wild onion symptomless virus	RefSeq	2016-06-30	TUR256-1	Wild onion symptomless virus	Potyvirus	Potyviridae	9369	complete			Turkey	Allium		2012	Wild onion symptomless virus gene for polyprotein, complete cds, isolate: TUR256-1
NC_030392	Sclerotinia nivalis victorivirus 1	RefSeq	2016-06-30	SsSn-1.v	Sclerotinia nivalis victorivirus 1	Victorivirus	Totiviridae	5162	complete				Sclerotinia nivalis			Sclerotinia nivalis victorivirus 1 isolate SsSn-1.v, complete genome
NC_030393	Cronartium ribicola mitovirus 1	RefSeq	2016-06-30	CrMV1-BC-u3	Unuamitovirus crri1	Unuamitovirus	Mitoviridae	2715	complete			Canada	Cronartium ribicola		2013-05	Cronartium ribicola mitovirus 1 isolate CrMV1-BC-u3 RNA-dependent RNA polymerase (RdRp) gene, complete cds
NC_030394	Short-finned eel ranavirus	RefSeq	2016-06-30	ANGA14001	Short-finned eel ranavirus	Ranavirus	Iridoviridae	126965	complete			New Zealand	Anguilla australis		1991-01-01	Short-finned eel ranavirus isolate ANGA14001, complete genome
NC_030395	Cronartium ribicola mitovirus 2	RefSeq	2016-06-30	CrMV2-BC-u3	Unuamitovirus crri2	Unuamitovirus	Mitoviridae	2471	complete			Canada	Cronartium ribicola		2013-05	Cronartium ribicola mitovirus 2 isolate CrMV2-BC-u3 RNA-dependent RNA polymerase (RdRp) gene, complete cds
NC_030396	Cronartium ribicola mitovirus 3	RefSeq	2016-06-30	CrMV3-BC-u3	Unuamitovirus crri3	Unuamitovirus	Mitoviridae	2522	complete			Canada	Cronartium ribicola		2013-05	Cronartium ribicola mitovirus 3 isolate CrMV3-BC-u3 RNA-dependent RNA polymerase (RdRp) gene, complete cds
NC_030397	Cronartium ribicola mitovirus 4	RefSeq	2016-06-30	CrMV4-BC-u3	Unuamitovirus crri4	Unuamitovirus	Mitoviridae	2479	complete			Canada	Cronartium ribicola		2013-05	Cronartium ribicola mitovirus 4 isolate CrMV4-BC-u3 RNA-dependent RNA polymerase (RdRp) gene, complete cds
NC_030398	Maize-associated totivirus 2	RefSeq	2016-06-30	EC_Portoviejo	Maize-associated totivirus 2		Totiviridae	4998	complete			Ecuador	Zea mays		2015-05-18	Maize-associated totivirus 2 isolate EC_Portoviejo, complete genome
NC_030399	Cronartium ribicola mitovirus 5	RefSeq	2016-06-30	CrMV5-BC-u3	Unuamitovirus crri5	Unuamitovirus	Mitoviridae	2631	complete			Canada	Cronartium ribicola		2013-05	Cronartium ribicola mitovirus 5 isolate CrMV5-BC-u3 RNA-dependent RNA polymerase (RdRp) gene, complete cds
NC_030400	Nakiwogo virus	RefSeq	2016-06-30		Nakiwogo virus		Flaviviridae	10122	complete			Uganda	Mansonia africana		2008	Nakiwogo virus strain Uganda08 polyprotein gene, partial cds
NC_030401	Hanko virus	RefSeq	2016-06-30		Hanko virus	Orthoflavivirus	Flaviviridae	10158	complete			Finland	Culicidae		2005-08	Hanko virus polyprotein gene, complete cds
NC_030402	Ungulate bocaparvovirus 6	RefSeq	2016-06-30		Bocaparvovirus ungulate6	Bocaparvovirus	Parvoviridae	5224	complete			USA	Bos taurus		2015	Ungulate bocaparvovirus 6 strain Ungulate bocaparvovirus 6 strain USII/03, complete genome
NC_030403	Telfairia golden mosaic virus	RefSeq	2016-06-30	Cameroon-Bakundu Bangang-Telfairia-20-14	Telfairia golden mosaic virus	Begomovirus	Geminiviridae	2742	complete		DNA-A	Cameroon	Telfairia occidentalis		2014	Telfairia golden mosaic virus isolate Cameroon-Bakundu Bangang-Telfairia-20-14 segment DNA-A, complete sequence
NC_030405	Etheostoma fonticola aquareovirus	RefSeq	2016-06-30	San Marcos 2003	Etheostoma fonticola aquareovirus	Aquareovirus	Spinareoviridae	3947	complete		1	USA	Etheostoma fonticola		2003-03	Etheostoma fonticola aquareovirus isolate San Marcos 2003 segment 1, complete sequence
NC_030406	Etheostoma fonticola aquareovirus	RefSeq	2016-06-30	San Marcos 2003	Etheostoma fonticola aquareovirus	Aquareovirus	Spinareoviridae	2057	complete		6	USA	Etheostoma fonticola		2003-03	Etheostoma fonticola aquareovirus isolate San Marcos 2003 segment 6, complete sequence
NC_030407	Etheostoma fonticola aquareovirus	RefSeq	2016-06-30	San Marcos 2003	Etheostoma fonticola aquareovirus	Aquareovirus	Spinareoviridae	1400	complete		7	USA	Etheostoma fonticola		2003-03	Etheostoma fonticola aquareovirus isolate San Marcos 2003 segment 7, complete sequence
NC_030408	Etheostoma fonticola aquareovirus	RefSeq	2016-06-30	San Marcos 2003	Etheostoma fonticola aquareovirus	Aquareovirus	Spinareoviridae	1317	complete		8	USA	Etheostoma fonticola		2003-03	Etheostoma fonticola aquareovirus isolate San Marcos 2003 segment 8, complete sequence
NC_030409	Etheostoma fonticola aquareovirus	RefSeq	2016-06-30	San Marcos 2003	Etheostoma fonticola aquareovirus	Aquareovirus	Spinareoviridae	1118	complete		9	USA	Etheostoma fonticola		2003-03	Etheostoma fonticola aquareovirus isolate San Marcos 2003 segment 9, complete sequence
NC_030410	Etheostoma fonticola aquareovirus	RefSeq	2016-06-30	San Marcos 2003	Etheostoma fonticola aquareovirus	Aquareovirus	Spinareoviridae	987	complete		10	USA	Etheostoma fonticola		2003-03	Etheostoma fonticola aquareovirus isolate San Marcos 2003 segment 10, complete sequence
NC_030411	Etheostoma fonticola aquareovirus	RefSeq	2016-06-30	San Marcos 2003	Etheostoma fonticola aquareovirus	Aquareovirus	Spinareoviridae	783	complete		11	USA	Etheostoma fonticola		2003-03	Etheostoma fonticola aquareovirus isolate San Marcos 2003 segment 11, complete sequence
NC_030412	Etheostoma fonticola aquareovirus	RefSeq	2016-06-30	San Marcos 2003	Etheostoma fonticola aquareovirus	Aquareovirus	Spinareoviridae	3866	complete		2	USA	Etheostoma fonticola		2003-03	Etheostoma fonticola aquareovirus isolate San Marcos 2003 segment 2, complete sequence
NC_030413	Etheostoma fonticola aquareovirus	RefSeq	2016-06-30	San Marcos 2003	Etheostoma fonticola aquareovirus	Aquareovirus	Spinareoviridae	3687	complete		3	USA	Etheostoma fonticola		2003-03	Etheostoma fonticola aquareovirus isolate San Marcos 2003 segment 3, complete sequence
NC_030414	Etheostoma fonticola aquareovirus	RefSeq	2016-06-30	San Marcos 2003	Etheostoma fonticola aquareovirus	Aquareovirus	Spinareoviridae	2554	complete		4	USA	Etheostoma fonticola		2003-03	Etheostoma fonticola aquareovirus isolate San Marcos 2003 segment 4, complete sequence
NC_030415	Etheostoma fonticola aquareovirus	RefSeq	2016-06-30	San Marcos 2003	Etheostoma fonticola aquareovirus	Aquareovirus	Spinareoviridae	2242	complete		5	USA	Etheostoma fonticola		2003-03	Etheostoma fonticola aquareovirus isolate San Marcos 2003 segment 5, complete sequence
NC_030378	Tospovirus kiwifruit/YXW/2014	RefSeq	2016-06-20		Tospovirus kiwifruit/YXW/2014		Tospoviridae	8908	complete		L	China	Actinidia deliciosa		2014-04-03	Tospovirus kiwifruit/YXW/2014 segment L, complete sequence
NC_030379	Tospovirus kiwifruit/YXW/2014	RefSeq	2016-06-20		Tospovirus kiwifruit/YXW/2014		Tospoviridae	4772	complete		M	China	Actinidia deliciosa		2014-04-03	Tospovirus kiwifruit/YXW/2014 segment M, complete sequence
NC_030380	Tospovirus kiwifruit/YXW/2014	RefSeq	2016-06-20		Tospovirus kiwifruit/YXW/2014		Tospoviridae	2991	complete		S	China	Actinidia deliciosa		2014-04-03	Tospovirus kiwifruit/YXW/2014 segment S, complete sequence
NC_030308	Phytomonas serpens narnavirus 1	RefSeq	2016-06-17	PserNV1	Phytomonas serpens narnavirus 1	Narnavirus	Narnaviridae	3782	complete			Brazil			1989-05	Phytomonas serpens narnavirus 1 isolate PserNV1, complete genome
NC_030309	Chayote yellow mosaic Benin betasatellite	RefSeq	2016-06-17	Cameroon-Kumba-Papaya-20-14	Momordica yellow mosaic betasatellite	Betasatellite	Tolecusatellitidae	1367	complete			Benin	Momordica charantia		2014	Chayote yellow mosaic Benin betasatellite isolate Cameroon-Kumba-Papaya-20-14, complete sequence
NC_030310	Cotton yellow mosaic virus	RefSeq	2016-06-17	Benin-Gossypium raimondii-55-14	Cotton yellow mosaic virus	Begomovirus	Geminiviridae	2766	complete		A	Benin	Gossypium hirsutum		2014	Cotton yellow mosaic virus isolate Benin-Gossypium raimondii-55-14 segment DNA-A, complete sequence
NC_030311	Cotton yellow mosaic virus	RefSeq	2016-06-17	Benin-Gossypium raimondii-55-14	Cotton yellow mosaic virus	Begomovirus	Geminiviridae	2716	complete		B	Cameroon	Gossypium hirsutum		2014	Cotton yellow mosaic virus isolate Benin-Gossypium raimondii-55-14 segment DNA-B, complete sequence
NC_030289	Edge Hill virus	RefSeq	2016-06-10		Orthoflavivirus edgehillense	Orthoflavivirus	Flaviviridae	10206	complete			Australia				Edge Hill virus strain YMP 48 polyprotein gene, complete cds
NC_030290	Culiseta flavivirus	RefSeq	2016-06-10		Culiseta flavivirus		Flaviviridae	10864	complete			USA	Culiseta melanura	pooled insects	2013-06-06	Culiseta flavivirus strain 502-13, complete genome
NC_030291	GB virus-D	RefSeq	2016-06-10		Pegivirus pteropi	Pegivirus	Flaviviridae	9630	complete			Bangladesh	Pteropus giganteus		2007-12	GB virus D strain 68 polyprotein precursor, gene, complete cds
NC_030292	Ferret coronavirus	RefSeq	2016-06-10	FRCoV-NL-2010	Ferret coronavirus	Alphacoronavirus	Coronaviridae	28434	complete			Netherlands	Mustela putorius		2010	Ferret coronavirus isolate FRCoV-NL-2010, complete genome
NC_030293	Pecan mosaic-associated virus	RefSeq	2016-06-10	LA	Potyvirus caryae	Potyvirus	Potyviridae	9310	complete			China	Carya illinoinensis		2014-05-18	Pecan mosaic-associated virus isolate LA, complete genome
NC_030294	Negev virus	RefSeq	2016-06-10		Negev virus	Negevirus		9537	complete				Culex vishnui			Negev virus genes for hypothetical proteins, complete cds, strain: PL17
NC_030295	Golden shiner totivirus	RefSeq	2016-06-10	GSTV/US/MN/2014	Golden shiner totivirus		Totiviridae	7788	complete			USA	Notemigonus crysoleucas	kidney, spleen	2014	Golden shiner totivirus isolate GSTV/US/MN/2014, partial genome
NC_030296	Diaphorina citri densovirus	RefSeq	2016-06-10		Diciambidensovirus hemipteran1	Diciambidensovirus	Parvoviridae	5071	complete			Taiwan	Diaphorina citri		2015-06	Diaphorina citri densovirus, complete genome
NC_030297	Torque teno mini virus 18	RefSeq	2016-06-10	222	Betatorquevirus homini18	Betatorquevirus	Anelloviridae	2803	complete			China	Homo sapiens	oronasopharynx	2014	Torque teno mini virus 18 isolate 222, complete genome
NC_030224	Nigrospora oryzae victorivirus 1	RefSeq	2016-05-31		Nigrospora oryzae victorivirus 1	Victorivirus	Totiviridae	5100	complete			China	Nigrospora oryzae		2015	Nigrospora oryzae victorivirus 1, complete genome
NC_030225	Pepo aphid-borne yellows virus	RefSeq	2016-05-31	RSA BB Marrow	Pepo aphid-borne yellows virus	Polerovirus	Solemoviridae	5813	complete			South Africa	Cucurbita pepo		2011	Pepo aphid-borne yellows virus isolate RSA BB Marrow, complete genome
NC_030226	Parthenium leaf curl alphasatellite	RefSeq	2016-05-31		Parthenium leaf curl alphasatellite		Alphasatellitidae	1386	complete			Pakistan	Parthenium hysterophorus	plant leaf		Parthenium leaf curl alphasatellite, clone Par-al2
NC_030227	Wuhan centipede virus	RefSeq	2016-05-31		Wuhan centipede virus			23676	complete			China	Otostigmus scaber		2013	Wuhan centipede virus strain WHWG-11 polyprotein gene, complete cds
NC_030228	Xinzhou spider virus 3	RefSeq	2016-05-31		Xinzhou spider virus 3			20433	complete			China	Neoscona nautica		2013	Xinzhou spider virus 3 strain XZZZ-3 polyprotein gene, complete cds
NC_030229	Tropical soda apple mosaic virus	RefSeq	2016-05-31	Okeechobee	Tropical soda apple mosaic virus	Tobamovirus	Virgaviridae	6350	complete			USA	Solanum viarum		2002	Tropical soda apple mosaic virus isolate Okeechobee, complete genome
NC_030230	Tokyovirus A1	RefSeq	2016-05-31		Tokyovirus A1	Marseillevirus	Marseilleviridae	372707	complete							Tokyovirus A1 DNA, nearly complete genome
NC_030231	avian paramyxovirus 13	RefSeq	2016-05-31		Orthoavulavirus japanense	Orthoavulavirus	Paramyxoviridae	16146	complete			Japan	Anser sp.		2000	Avian paramyxovirus goose/Shimane/67/2000 viral cRNA, complete genome
NC_030232	Antarctic picorna-like virus 1	RefSeq	2016-05-31	APLV1	Antarctic picorna-like virus 1			8531	complete			Antarctica	unidentified		2006-11-27	Antarctic picorna-like virus 1 nonstructural protein and structural protein genes, complete cds
NC_030233	Antarctic picorna-like virus 2	RefSeq	2016-05-31	APLV2	Antarctic picorna-like virus 2			9357	complete			Antarctica	unidentified		2007-01-22	Antarctic picorna-like virus 2 nonstructural protein and structural protein genes, complete cds
NC_030234	Antarctic picorna-like virus 3	RefSeq	2016-05-31	APLV3	Antarctic picorna-like virus 3			8644	complete			Antarctica	unidentified		2007-01-22	Antarctic picorna-like virus 3 nonstructural protein gene, complete cds
NC_030235	Antarctic picorna-like virus 4	RefSeq	2016-05-31	APLV4	Antarctic picorna-like virus 4			9168	complete			Antarctica	unidentified		2010-02-01	Antarctic picorna-like virus 4 nonstructural protein and structural protein genes, complete cds
NC_030236	Impatiens flower break virus	RefSeq	2016-05-31	Asan	Potyvirus impatiensis	Potyvirus	Potyviridae	9622	complete			South Korea	Impatiens walleriana		2011-06-23	Impatiens flower break potyvirus isolate Asan, complete genome
NC_030238	Euphorbia caput-medusae latent virus	RefSeq	2016-05-31	DAR12_CM243	Euphorbia caput-medusae latent virus	Capulavirus	Geminiviridae	2683	complete			South Africa	Euphorbia caput-medusae	plant leaf	2012-10-01	Euphorbia caput-medusae latent virus isolate DAR12_CM243, complete genome
NC_030240	Catopsilia pomona nucleopolyhedrovirus	RefSeq	2016-05-31	416	Alphabaculovirus capomonae	Alphabaculovirus	Baculoviridae	128058	complete			China	Catopsilia pomona		1990	Catopsilia pomona nucleopolyhedrovirus isolate 416, complete genome
NC_030242	Victorian trout aquabirnavirus	RefSeq	2016-05-31	VTAB 10-04677	Victorian trout aquabirnavirus	Aquabirnavirus	Birnaviridae	2972	complete		A	Australia	Oncorhynchus mykiss		2010-11-22	Victorian trout aquabirnavirus isolate VTAB 10-04677 segment A, complete sequence
NC_030243	Sinapis alba cryptic virus 1	RefSeq	2016-05-31	LTBJ	Sinapis alba cryptic virus 1		Partitiviridae	1584	complete		RNA 1	China	Sinapis alba		2010-10-05	Sinapis alba cryptic virus 1 isolate LTBJ RNA dependent RNA polymerase gene, complete cds
NC_030244	Victorian trout aquabirnavirus	RefSeq	2016-05-31	VTAB 10-04677	Victorian trout aquabirnavirus	Aquabirnavirus	Birnaviridae	2611	complete		B	Australia	Oncorhynchus mykiss		2010-11-22	Victorian trout aquabirnavirus isolate VTAB 10-04677 segment B, complete sequence
NC_030245	Sinapis alba cryptic virus 1	RefSeq	2016-05-31	LTBJ	Sinapis alba cryptic virus 1		Partitiviridae	1536	complete		RNA 2	China	Sinapis alba		2010-10-05	Sinapis alba cryptic virus 1 isolate LTBJ capsid protein gene, complete cds
NC_030199	Avian-like circovirus	RefSeq	2016-05-23	A1	Circovirus yaa	Circovirus	Circoviridae	1939	complete			USA	Ixodes scapularis		2014	Avian-like circovirus isolate A1 replication-associated protein gene, complete cds
NC_030200	macacine betaherpesvirus 9	RefSeq	2016-05-23		Roseolovirus macacinebeta9	Roseolovirus	Orthoherpesviridae	137448	complete			USA	Macaca nemestrina		2009-10-22	Macaca nemestrina herpesvirus 7, complete genome
NC_030201	Fusarium poae dsRNA virus 2	RefSeq	2016-05-23	SX63	Fusarium poae dsRNA virus 2			9518	complete			China			2012	Fusarium poae dsRNA virus 2 isolate SX63, complete genome
NC_030202	Fusarium poae dsRNA virus 3	RefSeq	2016-05-23	SX63	Fusarium poae dsRNA virus 3			9419	complete			China			2012	Fusarium poae dsRNA virus 3 isolate SX63, complete genome
NC_030203	Sclerotinia sclerotiorum umbra-like virus 1	RefSeq	2016-05-23	IL1	Sclerotinia sclerotiorum umbra-like virus 1	Umbravirus	Tombusviridae	4483	complete			USA			2008-08-08	Sclerotinia sclerotiorum umbra-like virus 1 isolate IL1 RNA-dependent RNA polymerase and replication-associated protein genes, complete cds
NC_030204	Lonestar tick chuvirus 1	RefSeq	2016-05-23	RTS21	Mivirus amblyommae	Mivirus	Chuviridae	11163	complete			USA	Amblyomma americanum		2015	Lonestar tick chuvirus 1 isolate RTS21, complete genome
NC_030205	Water chestnut soymovirus 1	RefSeq	2016-05-23	TuanFeng	Water chestnut soymovirus 1	Soymovirus	Caulimoviridae	7535	complete			China	Eleocharis dulcis		2014	Water chestnut soymovirus 1 isolate TuanFeng, complete genome
NC_030115	Anopheles C virus	RefSeq	2016-05-16	Ngousso	Anopheles C virus	Cripavirus	Dicistroviridae	8919	complete			France	Anopheles coluzzii		2014-06-14	Anopheles C virus non-structural polyprotein and structural polyprotein genes, complete cds
NC_030116	Chinstrap penguin adenovirus 2	RefSeq	2016-05-16	CSPAdV_2	Penguin siadenovirus A	Siadenovirus	Adenoviridae	24662	complete			Antarctica	Pygoscelis antarcticus		2010	Chinstrap penguin adenovirus 2 isolate CSPAdV_2, complete genome
NC_030117	Canid alphaherpesvirus 1	RefSeq	2016-05-16		Varicellovirus canidalpha1	Varicellovirus	Orthoherpesviridae	125171	complete			United Kingdom	Canis lupus familiaris		1985	Canid herpesvirus 1 strain 0194, complete genome
